best_active_feature_count,best_fitness,best_passed_count,best_precision,best_recall,candidate_id,early_stop,generation,population_avg_fitness,stage,ticker
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,17,-652.0421242778234,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,18,-635.1395474391423,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,19,-667.5892703791988,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,20,-626.1287868824777,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,21,-743.1359395116655,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,22,-717.3222975899141,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,23,-708.837872170991,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,24,-692.5864937769534,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,25,-751.3392923788738,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,26,-718.0025989335443,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,27,-557.9739076727703,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,28,-658.5634102032351,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,29,-675.9599586661692,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,30,-692.8820065305686,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,False,31,-684.5013338011713,stage3,ADPT
2,120.41784989858012,9,1.0,0.2647058823529412,stage3:ADPT:78c31f1ca209,True,32,-683.7633140171315,stage3,ADPT
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,1,-825.6394166023417,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,2,-817.2012575532107,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,3,-792.227543008207,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,4,-823.6784544665404,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,5,-830.9433587519936,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,6,-798.8457313404704,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,7,-820.9367019985652,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,8,-828.6261062734753,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,9,-812.5428726272706,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,10,-786.7148728454449,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,11,-794.3168495375642,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,12,-808.7175475374809,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,13,-831.9856572055905,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,14,-768.489945459718,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,15,-733.2950381241512,stage3,AEIS
2,93.54166666666666,9,0.6666666666666666,0.75,stage3:AEIS:6e26f08a7c6d,False,16,-733.7850072019994,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,17,-772.3216312486534,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,18,-835.7470703125,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,19,-795.6932608840813,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,20,-812.2259795217803,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,21,-796.6783341224748,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,22,-804.2244774756493,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,23,-780.4882044604701,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,24,-804.059698829816,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,25,-811.217795138889,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,26,-755.8238698584403,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,27,-779.2405658143939,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,28,-835.4514973958334,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,29,-810.48125,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,30,-780.0425719246032,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,31,-787.8722756410257,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,32,-786.5566606570512,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,33,-802.4467548076924,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,False,34,-796.1611564867424,stage3,AEIS
2,105.5,8,0.75,0.75,stage3:AEIS:6e26f08a7c6d,True,35,-753.8146484375001,stage3,AEIS
1,25.917857142857144,8,0.375,0.75,stage3:AES:2bd518bc9a7e,False,1,-981.5247209821429,stage3,AES
1,25.917857142857144,8,0.375,0.75,stage3:AES:2bd518bc9a7e,False,2,-981.6340959821429,stage3,AES
1,25.917857142857144,8,0.375,0.75,stage3:AES:2bd518bc9a7e,False,3,-973.5321986607144,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,4,-957.4694630456349,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,5,-933.7601252480159,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,6,-917.5333271329365,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,7,-909.790804811508,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,8,-902.2201574900794,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,9,-878.3943917410714,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,10,-862.371695188492,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,11,-870.6901723710317,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,12,-854.6918898809524,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,13,-854.0942336309524,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,14,-846.0713293650795,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,15,-845.6752790178572,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,16,-837.7506820436508,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,17,-829.218771701389,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,18,-828.7944010416667,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,19,-852.5882657490079,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,20,-860.3454365079365,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,False,21,-812.0352678571428,stage3,AES
1,38.98730158730159,9,0.4444444444444444,1.0,stage3:AES:2bd518bc9a7e,True,22,-828.0416883680555,stage3,AES
1,99.51594202898552,15,0.8666666666666667,0.7222222222222222,stage3:AEVA:3c4e598fa5c7,False,1,-937.405628570931,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,2,-887.4600392380114,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,3,-854.3972747568705,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,4,-794.3630879499426,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,5,-818.650224601787,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,6,-843.5027890210634,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,7,-801.372078780672,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,8,-800.9513973570608,stage3,AEVA
2,115.18260869565218,9,1.0,0.5,stage3:AEVA:3c4e598fa5c7,False,9,-792.2801936485185,stage3,AEVA
