base_rate,candidate_id,coverage,lift_pp,mode,passed_count,passed_positive_count,positive_count,precision,recall,regime,signal_count,stage,ticker
0.5714285714285714,stage3:APA:692dd6626ba8,0.21428571428571427,9.523809523809524,filtered,3,2,8,0.6666666666666666,0.25,stress,14,stage3,APA
0.43478260869565216,stage3:APA:692dd6626ba8,1.0,0.0,baseline,23,10,10,0.43478260869565216,1.0,train,23,stage3,APA
0.43478260869565216,stage3:APA:692dd6626ba8,0.34782608695652173,44.02173913043478,filtered,8,7,10,0.875,0.7,train,23,stage3,APA
0.6,stage3:APA:692dd6626ba8,1.0,0.0,baseline,10,6,6,0.6,1.0,oos,10,stage3,APA
0.6,stage3:APA:692dd6626ba8,0.2,-9.999999999999998,filtered,2,1,6,0.5,0.16666666666666666,oos,10,stage3,APA
0.2727272727272727,stage3:ARKW:296c057b4ef7,1.0,0.0,baseline,11,3,3,0.2727272727272727,1.0,stress,11,stage3,ARKW
0.2727272727272727,stage3:ARKW:296c057b4ef7,0.36363636363636365,-27.27272727272727,filtered,4,0,3,0.0,0.0,stress,11,stage3,ARKW
0.55,stage3:ARKW:296c057b4ef7,1.0,0.0,baseline,20,11,11,0.55,1.0,train,20,stage3,ARKW
0.55,stage3:ARKW:296c057b4ef7,0.5,25.0,filtered,10,8,11,0.8,0.7272727272727273,train,20,stage3,ARKW
0.3,stage3:ARKW:296c057b4ef7,1.0,0.0,baseline,10,3,3,0.3,1.0,oos,10,stage3,ARKW
0.3,stage3:ARKW:296c057b4ef7,0.7,-1.428571428571429,filtered,7,2,3,0.2857142857142857,0.6666666666666666,oos,10,stage3,ARKW
0.5,stage3:AVAV:3d66945d7c65,1.0,0.0,baseline,12,6,6,0.5,1.0,stress,12,stage3,AVAV
0.5,stage3:AVAV:3d66945d7c65,0.4166666666666667,9.999999999999998,filtered,5,3,6,0.6,0.5,stress,12,stage3,AVAV
0.3684210526315789,stage3:AVAV:3d66945d7c65,1.0,0.0,baseline,19,7,7,0.3684210526315789,1.0,train,19,stage3,AVAV
0.3684210526315789,stage3:AVAV:3d66945d7c65,0.42105263157894735,25.657894736842106,filtered,8,5,7,0.625,0.7142857142857143,train,19,stage3,AVAV
0.36363636363636365,stage3:AVAV:3d66945d7c65,1.0,0.0,baseline,11,4,4,0.36363636363636365,1.0,oos,11,stage3,AVAV
0.36363636363636365,stage3:AVAV:3d66945d7c65,0.36363636363636365,38.63636363636363,filtered,4,3,4,0.75,0.75,oos,11,stage3,AVAV
0.3,stage3:AVGO:e4fd3cee2402,1.0,0.0,baseline,10,3,3,0.3,1.0,stress,10,stage3,AVGO
0.3,stage3:AVGO:e4fd3cee2402,0.1,70.0,filtered,1,1,3,1.0,0.3333333333333333,stress,10,stage3,AVGO
0.25,stage3:AVGO:e4fd3cee2402,1.0,0.0,baseline,24,6,6,0.25,1.0,train,24,stage3,AVGO
0.25,stage3:AVGO:e4fd3cee2402,0.3333333333333333,50.0,filtered,8,6,6,0.75,1.0,train,24,stage3,AVGO
0.5,stage3:AVGO:e4fd3cee2402,1.0,0.0,baseline,14,7,7,0.5,1.0,oos,14,stage3,AVGO
