all_feature_and,bilateral,domain_max_train,domain_min_train,fallback_applied_any_generation,fallback_event_count,feature,feature_definition,finite_high,finite_low,high_norm,high_value,low_norm,low_value,min_width_pass,model_hash,near_full_noise_gene,ticker,width_norm
True,True,13.35707979651568,-12.38493360600894,True,5,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.8132229246221682,8.549061818855183,0.24766999081667262,-6.009409383003003,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.5655529338054955
True,True,13.35707979651568,-12.38493360600894,True,6,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.8713818859000448,10.046190579547194,0.1377481895637226,-8.83901786408609,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.7336336963363222
True,True,29.17484503249874,-23.911437088567457,True,3,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.7918825765430029,18.12666477655119,0.14648848097052147,-16.134908260279918,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.6453940955724814
True,True,5.0,0.0,True,5,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.821137960646747,4.1056898032337354,0.20699707916777632,1.0349853958388815,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.6141408814789707
True,True,4.0,0.0,True,2,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.9425328494293173,3.770131397717269,0.1572709931003124,0.6290839724012496,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.7852618563290048
True,True,1.0,0.0,True,2,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.9162962018043753,0.9162962018043753,0.453235304385108,0.453235304385108,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.4630608974192673
True,True,34.5295763444607,0.0,True,3,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.8399008563718026,29.001420741868078,0.05,1.7264788172230352,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.7899008563718025
True,True,13.35707979651568,-1.076918382051295,True,1,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.7912131863010625,10.343451307876414,0.18394897042776903,1.5782007220523937,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.6072642158732935
True,True,25.846888153445057,0.0,True,2,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.7201713078376266,18.614187244999385,0.22234394819195322,5.746899160512797,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,BTU,0.4978273596456734
True,True,23.82550448343881,-17.464785743301682,True,3,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.974300424799445,22.764361564703954,0.19594785425083824,-9.374041971977524,True,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,False,BB,0.7783525705486067
True,True,23.82550448343881,-17.464785743301682,True,5,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.7998880362855869,15.56282342382773,0.36368028403633457,-2.4483212656980093,True,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,False,BB,0.43620775224925235
True,True,23.82550448343881,-17.464785743301682,True,1,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.8541518334752737,17.803391358594887,0.3067619678244941,-4.79849506130229,True,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,False,BB,0.5473898656507796
