base_rate,coverage,decision_threshold,gate_fail_reasons,lift_pp,model_hash,pass_probability,passed_count,passed_gate,passed_positive_count,positive_count,precision,precision_floor,recall,regime,sample_floor,signal_count,survivor,ticker
0.41011984021304926,0.037283621837549935,0.4901198402130493,[],30.416587407266505,7fa919d835007ccc51a1516708bedff5d52d105b3af32cb79d59551e4d35d7cf,0.7142857142857143,28,True,20,308,0.7142857142857143,0.4901198402130493,0.06493506493506493,train,20,751,False,STLD
0.4446601941747573,0.05631067961165048,0.4901198402130493,"[""precision<0.5643""]",-3.0867090726481416,7fa919d835007ccc51a1516708bedff5d52d105b3af32cb79d59551e4d35d7cf,0.7142857142857143,29,False,12,229,0.41379310344827586,0.5642857142857143,0.05240174672489083,stress,8,515,False,STLD
0.4444444444444444,0.01984126984126984,0.4901198402130493,"[""passed_count<8"", ""precision<0.5643""]",-4.444444444444439,7fa919d835007ccc51a1516708bedff5d52d105b3af32cb79d59551e4d35d7cf,0.7142857142857143,5,False,2,112,0.4,0.5642857142857143,0.017857142857142856,oos,8,252,False,STLD
0.38615179760319573,0.02663115845539281,0.46615179760319575,[],36.38482023968043,93b7893251b40f1c509bab31eada1baa697d37b79c99f5aefb4167b0c3327b55,0.75,20,True,15,290,0.75,0.46615179760319575,0.05172413793103448,train,20,751,False,BNTX
0.570873786407767,0.05242718446601942,0.46615179760319575,"[""precision<0.6009""]",-5.235526788924849,93b7893251b40f1c509bab31eada1baa697d37b79c99f5aefb4167b0c3327b55,0.75,27,False,14,294,0.5185185185185185,0.600873786407767,0.047619047619047616,stress,8,515,False,BNTX
0.38492063492063494,0.003968253968253968,0.46615179760319575,"[""passed_count<8"", ""precision<0.6000""]",-38.492063492063494,93b7893251b40f1c509bab31eada1baa697d37b79c99f5aefb4167b0c3327b55,0.75,1,False,0,97,0.0,0.6,0.0,oos,8,252,False,BNTX
0.22237017310252996,0.02796271637816245,0.45,[],34.905839832604144,9ba55680e24c03e525724747eae5a7a27a9761bfd9b75f88d75b0bbbfec2b4f6,0.5714285714285714,21,True,12,167,0.5714285714285714,0.45,0.0718562874251497,train,20,751,False,BWXT
0.24271844660194175,0.02912621359223301,0.45,"[""precision<0.4214""]",-10.938511326860842,9ba55680e24c03e525724747eae5a7a27a9761bfd9b75f88d75b0bbbfec2b4f6,0.5714285714285714,15,False,2,125,0.13333333333333333,0.4214285714285714,0.016,stress,8,515,False,BWXT
0.45634920634920634,0.047619047619047616,0.45,[],4.3650793650793664,9ba55680e24c03e525724747eae5a7a27a9761bfd9b75f88d75b0bbbfec2b4f6,0.5714285714285714,12,True,6,115,0.5,0.4863492063492063,0.05217391304347826,oos,8,252,False,BWXT
0.5672436750998668,0.02663115845539281,0.6472436750998668,[],23.275632490013322,85f59cb3b87577d0e0b385a15c1ed7475aefa14221c772f0361a39765a0feaae,0.8,20,True,16,426,0.8,0.6472436750998668,0.03755868544600939,train,20,751,False,BE
0.6077669902912621,0.08155339805825243,0.6472436750998668,"[""precision<0.6500""]",3.5090152565880772,85f59cb3b87577d0e0b385a15c1ed7475aefa14221c772f0361a39765a0feaae,0.8,42,False,27,313,0.6428571428571429,0.65,0.08626198083067092,stress,8,515,False,BE
0.7261904761904762,0.15079365079365079,0.6472436750998668,[],11.591478696741852,85f59cb3b87577d0e0b385a15c1ed7475aefa14221c772f0361a39765a0feaae,0.8,38,True,32,183,0.8421052631578947,0.7561904761904762,0.17486338797814208,oos,8,252,False,BE
0.45139813581890814,0.03062583222370173,0.5313981358189082,[],33.12105598332658,6d5d6e77b6bc1c013471e4e30434fccdfa7065f2f63a0bc60b6411a672592f2a,0.782608695652174,23,True,18,339,0.782608695652174,0.5313981358189082,0.05309734513274336,train,20,751,False,CLF
0.5631067961165048,0.03300970873786408,0.5313981358189082,[],8.395202741290698,6d5d6e77b6bc1c013471e4e30434fccdfa7065f2f63a0bc60b6411a672592f2a,0.782608695652174,17,True,11,290,0.6470588235294118,0.6326086956521739,0.03793103448275862,stress,8,515,False,CLF
0.5753968253968254,0.015873015873015872,0.5313981358189082,"[""passed_count<8""]",17.460317460317466,6d5d6e77b6bc1c013471e4e30434fccdfa7065f2f63a0bc60b6411a672592f2a,0.782608695652174,4,False,3,145,0.75,0.6326086956521739,0.020689655172413793,oos,8,252,False,CLF
0.4167776298268975,0.02929427430093209,0.4967776298268975,[],31.04950974458298,e04be452df8b97d5bad0c8901050e979e3fd1aafe7f47c63f37e9f22951a2db0,0.7272727272727273,22,True,16,313,0.7272727272727273,0.4967776298268975,0.051118210862619806,train,20,751,False,AVGO
0.26796116504854367,0.02912621359223301,0.4967776298268975,"[""precision<0.5773""]",19.8705501618123,e04be452df8b97d5bad0c8901050e979e3fd1aafe7f47c63f37e9f22951a2db0,0.7272727272727273,15,False,7,138,0.4666666666666667,0.5772727272727273,0.050724637681159424,stress,8,515,False,AVGO
0.4801587301587302,0.023809523809523808,0.4967776298268975,"[""passed_count<8"", ""precision<0.5773""]",-31.349206349206348,e04be452df8b97d5bad0c8901050e979e3fd1aafe7f47c63f37e9f22951a2db0,0.7272727272727273,6,False,1,121,0.16666666666666666,0.5772727272727273,0.008264462809917356,oos,8,252,False,AVGO
0.48601864181091875,0.02796271637816245,0.5660186418109188,[],37.11242153319383,088c0b4668fc6f9eee83f1b06217864f0fc2bebb4f32155f6b644e33b6aa65d2,0.8571428571428571,21,True,18,365,0.8571428571428571,0.5660186418109188,0.049315068493150684,train,20,751,False,ACLS
0.516504854368932,0.017475728155339806,0.5660186418109188,"[""precision<0.7071""]",-7.206040992448759,088c0b4668fc6f9eee83f1b06217864f0fc2bebb4f32155f6b644e33b6aa65d2,0.8571428571428571,9,False,4,266,0.4444444444444444,0.7071428571428571,0.015037593984962405,stress,8,515,False,ACLS
0.5992063492063492,0.023809523809523808,0.5660186418109188,"[""passed_count<8""]",23.41269841269842,088c0b4668fc6f9eee83f1b06217864f0fc2bebb4f32155f6b644e33b6aa65d2,0.8571428571428571,6,False,5,151,0.8333333333333334,0.7071428571428571,0.033112582781456956,oos,8,252,False,ACLS
0.5006657789613849,0.02663115845539281,0.5806657789613848,[],39.93342210386152,06b2b68abf3182a6c877acc6bbe0f8d41fb0db91a5bb7e29cd5c4984698c1c2e,0.9,20,True,18,376,0.9,0.5806657789613848,0.047872340425531915,train,20,751,False,CSIQ
