ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,label_2d3pct,status
AEVA,2024-01-24,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-25,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-26,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-29,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-01-30,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-01-31,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-01,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-02-02,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-06,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-07,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-09,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-02-13,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-14,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-15,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-16,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-02-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-02-21,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-22,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-23,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-26,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-27,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-02-28,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-02-29,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-01,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-04,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-06,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-07,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-11,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-13,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-14,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-15,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-18,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-19,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-21,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-22,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-25,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-26,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-03-27,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-03-28,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-01,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-02,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-04,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-09,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-10,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-11,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-15,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-16,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-17,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-18,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-19,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-22,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-23,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-24,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-04-25,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-26,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-29,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-04-30,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-01,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-02,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-06,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-07,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-08,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-09,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-10,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-13,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-14,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-15,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-16,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-17,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-21,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-22,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-23,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-24,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-28,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-05-29,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-30,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-05-31,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-03,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-04,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-06,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-07,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-10,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-11,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-12,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-13,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-14,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-17,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-18,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-20,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-21,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-24,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-06-25,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-26,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-27,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-06-28,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-07-01,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-07-02,train,True,True,D-1,0,ELIGIBLE
AEVA,2024-07-03,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-07-05,train,True,True,D-1,1,ELIGIBLE
AEVA,2024-07-08,train,True,True,D-1,1,ELIGIBLE
