scope,stage,cut,cut_definition,group,rule_n,ticker_n,trade_n_sum,mean_rule_avg_pnl_pct,median_rule_avg_pnl_pct,mean_rule_win_rate_pct,mean_rule_p05_pnl_pct,mean_rule_tail10_pnl_pct,mean_rule_worst_mae_pct
FROZEN_OOS,stage3,ACTIVE_EXACT_LE2,active_exact_count <= 2,OTHER,80,80,11587,3.2235297560923954,3.1298981351320085,60.77770714296305,-15.050490369863681,-16.267242693421025,-27.755583637955
FROZEN_OOS,stage3,ACTIVE_MATERIAL_LE2,active_material_count <= 2,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage3,ACTIVE_MATERIAL_LE2,active_material_count <= 2,OTHER,80,80,11587,3.2235297560923954,3.1298981351320085,60.77770714296305,-15.050490369863681,-16.267242693421025,-27.755583637955
FROZEN_OOS,stage3,TOP2_GE80,top2_weight_share_pct >= 80,SPARSE,4,4,569,5.929958964851184,5.329104481183776,62.57602225672878,-17.946634599437502,-19.21483369709835,-31.69801877975
FROZEN_OOS,stage3,TOP2_GE80,top2_weight_share_pct >= 80,OTHER,76,76,11018,3.081086113526144,3.011746325965861,60.68305897908065,-14.8980617262019,-16.112106324806422,-27.548087051544737
FROZEN_OOS,stage3,TOP2_GE90,top2_weight_share_pct >= 90,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage3,TOP2_GE90,top2_weight_share_pct >= 90,OTHER,80,80,11587,3.2235297560923954,3.1298981351320085,60.77770714296305,-15.050490369863681,-16.267242693421025,-27.755583637955
FROZEN_OOS,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,OTHER,80,80,11587,3.2235297560923954,3.1298981351320085,60.77770714296305,-15.050490369863681,-16.267242693421025,-27.755583637955
FROZEN_OOS,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,SPARSE,0,0,0,,,,,,
FROZEN_OOS,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,OTHER,80,80,11587,3.2235297560923954,3.1298981351320085,60.77770714296305,-15.050490369863681,-16.267242693421025,-27.755583637955
FROZEN_OOS,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,SPARSE,0,0,0,,,,,,
