window,slice_name,slice_value,unvalidated_gene,candidate_n,trade_n,candidate_equal_avg_pnl_pct,candidate_equal_win_rate_pct,candidate_equal_avg_mae_pct,candidate_equal_avg_mfe_pct,candidate_equal_worst_mae_pct,exit_distribution,metric,n_unvalidated,n_validated,difference,bootstrap_ci_low,bootstrap_ci_high
FROZEN_OOS,ALL,ALL,DIFF_UNVALIDATED_MINUS_VALIDATED,93,,,,,,,,avg_mfe_pct,6.0,87.0,0.24957913735815218,-2.826595937884033,3.5212829327619644
FROZEN_OOS,vol_group,HIGH_VOL,False,30,4452.0,3.231172134804024,56.755382123177405,-7.7034277553997255,12.785265791615435,-81.878475308,"{""breakeven_stop"": 823, ""sell_omen"": 31, ""stop_loss"": 707, ""take_profit"": 526, ""time_out"": 1520, ""trailing"": 845}",,,,,,
FROZEN_OOS,vol_group,HIGH_VOL,True,1,108.0,2.8836358174421663,59.25925925925925,-8.139894243889287,12.077539089292593,-30.5164347628,"{""stop_loss"": 27, ""take_profit"": 29, ""time_out"": 52}",,,,,,
FROZEN_OOS,vol_group,HIGH_VOL,DIFF_UNVALIDATED_MINUS_VALIDATED,31,,,,,,,,avg_pnl_pct,1.0,30.0,-0.3475363173618575,,
FROZEN_OOS,vol_group,HIGH_VOL,DIFF_UNVALIDATED_MINUS_VALIDATED,31,,,,,,,,win_rate_pct,1.0,30.0,2.5038771360818473,,
FROZEN_OOS,vol_group,HIGH_VOL,DIFF_UNVALIDATED_MINUS_VALIDATED,31,,,,,,,,avg_mae_pct,1.0,30.0,-0.43646648848956193,,
FROZEN_OOS,vol_group,HIGH_VOL,DIFF_UNVALIDATED_MINUS_VALIDATED,31,,,,,,,,avg_mfe_pct,1.0,30.0,-0.7077267023228426,,
FROZEN_OOS,vol_group,LOW_VOL,False,30,4156.0,2.603241118061503,64.10426002887144,-5.0754138219610985,8.279042176097096,-34.2169487974,"{""breakeven_stop"": 522, ""sell_omen"": 30, ""stop_loss"": 389, ""take_profit"": 340, ""time_out"": 1753, ""trailing"": 1122}",,,,,,
FROZEN_OOS,vol_group,LOW_VOL,True,1,119.0,1.6389781723814703,70.58823529411765,-3.7977926632751795,6.428557520647001,-20.8653753479,"{""breakeven_stop"": 39, ""time_out"": 80}",,,,,,
FROZEN_OOS,vol_group,LOW_VOL,DIFF_UNVALIDATED_MINUS_VALIDATED,31,,,,,,,,avg_pnl_pct,1.0,30.0,-0.9642629456800327,,
