candidate_id,mean_forward_max_return_pct,median_forward_max_return_pct,positive_count,positive_rate,regime,scope,signal_count,ticker
stage3:AA:9bf08eb287d2,3.7012115031379036,3.302954428875615,20,0.5263157894736842,all,ENTITY,38,AA
stage3:AAOI:5fa4b9dea9eb,3.349000071649767,2.9173747616525136,10,0.45454545454545453,stress,ENTITY,22,AAOI
stage3:AAOI:5fa4b9dea9eb,7.450697352403511,5.910389886433665,17,0.6296296296296297,train,ENTITY,27,AAOI
stage3:AAOI:5fa4b9dea9eb,8.11046186477756,5.6067730007069105,13,0.7222222222222222,oos,ENTITY,18,AAOI
stage3:AAOI:5fa4b9dea9eb,6.281121547122176,4.385971241490516,40,0.5970149253731343,all,ENTITY,67,AAOI
stage3:ABEV:9121d29b2b80,2.2119039458614598,2.230481096775083,3,0.3333333333333333,stress,ENTITY,9,ABEV
stage3:ABEV:9121d29b2b80,1.464473141170977,1.9758877721393953,1,0.0625,train,ENTITY,16,ABEV
stage3:ABEV:9121d29b2b80,1.447918800620017,1.3745690952998268,1,0.1111111111111111,oos,ENTITY,9,ABEV
stage3:ABEV:9121d29b2b80,1.6579404405020273,2.1699869544643424,5,0.14705882352941177,all,ENTITY,34,ABEV
stage3:ACLS:91f65753d85d,4.1860125173075335,4.088868105289311,9,0.75,stress,ENTITY,12,ACLS
stage3:ACLS:91f65753d85d,3.6847573573082375,3.656192546028336,8,0.6666666666666666,train,ENTITY,12,ACLS
stage3:ACLS:91f65753d85d,6.921538469906523,4.742749097692167,6,0.8571428571428571,oos,ENTITY,7,ACLS
stage3:ACLS:91f65753d85d,4.60967767047532,4.2313395430948475,23,0.7419354838709677,all,ENTITY,31,ACLS
stage3:ACMR:44c1e02681c4,3.9837940070307054,2.8318893141863644,6,0.42857142857142855,stress,ENTITY,14,ACMR
stage3:ACMR:44c1e02681c4,3.87335106218821,2.6619175707221165,15,0.4411764705882353,train,ENTITY,34,ACMR
stage3:ACMR:44c1e02681c4,5.62736223759617,4.930168721475381,18,0.6923076923076923,oos,ENTITY,26,ACMR
stage3:ACMR:44c1e02681c4,4.5105198701395866,3.2687931141047177,39,0.527027027027027,all,ENTITY,74,ACMR
stage3:ADMA:42437a3ee595,4.2648829507750685,3.6458361467036626,17,0.5483870967741935,stress,ENTITY,31,ADMA
stage3:ADMA:42437a3ee595,3.10557014133242,2.2974624122055975,15,0.39473684210526316,train,ENTITY,38,ADMA
stage3:ADMA:42437a3ee595,3.016322211702306,2.3584904811610574,9,0.391304347826087,oos,ENTITY,23,ADMA
stage3:ADMA:42437a3ee595,3.473896170802307,2.6084010160556947,41,0.44565217391304346,all,ENTITY,92,ADMA
stage3:ADPT:78c31f1ca209,5.367451602283481,4.332782210196839,27,0.6585365853658537,stress,ENTITY,41,ADPT
stage3:ADPT:78c31f1ca209,5.097826913405485,3.73514865389033,34,0.5862068965517241,train,ENTITY,58,ADPT
stage3:ADPT:78c31f1ca209,4.742287571545643,3.549298642316201,15,0.625,oos,ENTITY,24,ADPT
